name,city,verdict,confidence,website_found,domain,phone,address,rating,category,gmaps_url,evidence,phases_completed
Milan A Speciality Restaurant,Lucknow,has_website,90,https://theguide.tab.travel/pqytl/milan-a-speciality-restaurant/,,,,4815996,restaurants,,"Phase1: 50 domain variants generated; Phase2: 10 search results across engines;   LangSearch: full biz name in content;   LangSearch: address mentions Lucknow;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Purple Basil,Lucknow,has_website,90,https://www.purplebasilindia.com/,,,,4815996,restaurants,,"Phase1: 25 domain variants generated;   thepurplebasil.com → 200 (PARKED);   thepurplebasil.com → 200 (PARKED);   purple-basil.com → 200 (PARKED);   purple-basil.com → 200 (PARKED); Phase2: 13 search results across engines;   LangSearch: full biz name in content;   LangSearch: full biz name in content;   ✅ LangSearch confirmed: full biz name in content, address mentions Lucknow, branch/outlet in city mentioned",2
Spice Caves,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: No search results found (3 engines); Phase3: No social profiles found; Score: no_site=153, has_site=0, net=153, phases=3/5",3
The Mughal's Dastarkhwan,Lucknow,has_website,85,https://www.dinefine.in/uttar-pradesh/lucknow/the-mughal-s-dastarkhwan.html,,,,4815996,restaurants,,"Phase1: 40 domain variants generated; Phase2: 9 search results across engines;   ✅ Search confirmed: full biz name in content, biz+city in title, biz+city within 150 chars, branch/outlet in city mentioned",2
Royal Sky,Lucknow,has_website,95,https://royalsky.com,royalsky.com,,,4815996,restaurants,,"Phase1: 25 domain variants generated;   theroyalsky.com → 200 (PARKED);   theroyalsky.com → 200 (PARKED);   ✅ royalsky.com → MATCH: full biz name in content, biz name in title, domain == biz name",1
Moti Mahal Restaurant,Lucknow,has_website,90,https://wanderlog.com/es/place/details/6080/moti-mahal-restaurant,,,,4815996,restaurants,,"Phase1: 50 domain variants generated;   ⚠️ motimahal.in → same-name in DELHI;   ⚠️ motimahal.in → same-name in DELHI; Phase2: 15 search results across engines;   LangSearch: address mentions Lucknow;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
L-14 - All Day Dining and Takeaway,Lucknow,has_website,90,https://wanderlog.com/place/details/1138709/l-14-all-day-dining-and-takeaway,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 13 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow",2
Havana Kitchen | Best multicuisine restaurant in Lucknow,Lucknow,no_website,80,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 10 search results across engines;   LangSearch: branch/outlet in city mentioned; Phase3: No social profiles found; Score: no_site=138, has_site=83, net=55, phases=3/5",3
City Restaurant | Best Restaurant in Lucknow,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: No search results found (3 engines); Phase3: No social profiles found; Score: no_site=153, has_site=0, net=153, phases=3/5",3
Mantar Restaurant - Lucknow,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: No search results found (3 engines); Phase3: No social profiles found; Score: no_site=143, has_site=0, net=143, phases=3/5",3
Punjab Grill,Lucknow,has_website,90,https://restaurant-guru.in/Punjab-Grill-Lucknow,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 12 search results across engines;   LangSearch: full biz name in content;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow",2
Baati Chokha Restaurant (Taste of Banaras),Lucknow,has_website,85,https://www.trip.com/travel-guide/foods/lucknow-15564-restaurant/Baati%20Chokha%20Restaurant%20(%20Taste%20of%20banaras%20)-34788978/,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 5 search results across engines;   ✅ Search confirmed: full biz name in content, biz+city in title, biz+city within 150 chars",2
Mera Mann Restaurant - Best Restaurant in Lucknow,Lucknow,no_website,85,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 8 search results across engines;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow; Phase3: No social profiles found; Score: no_site=138, has_site=60, net=78, phases=3/5",3
Ishaara,Lucknow,has_website,95,https://ishaara.com,ishaara.com,,,4815996,restaurants,,"Phase1: 20 domain variants generated;   ✅ ishaara.com → MATCH: full biz name in content, biz name in title, domain == biz name",1
"Farzi Cafe, Lucknow",Lucknow,has_website,85,https://datagemba.com/b/v/in/lucknow/sushi/ChIJlTVAsCbjmzkRy3fXvBgtw7E,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 5 search results across engines;   LangSearch: address mentions Lucknow;   ✅ Search confirmed: full biz name in content, biz+city in title, biz+city within 150 chars",2
ROCCA,Lucknow,has_website,90,https://wanderlog.com/place/details/897515/rocca,,,,4815996,restaurants,,"Phase1: 20 domain variants generated;   ? therocca.com → full biz name in content, domain ≈ biz name;   → No subpage confirmation;   ? therocca.com → full biz name in content, domain ≈ biz name;   → No subpage confirmation; Phase2: 15 search results across engines;   LangSearch: full biz name in content, address mentions Lucknow, short/generic name, domain mismatch;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow, short/generic name, domain...",2
Tanatan,Lucknow,has_website,90,https://tanatan.goto-where.com/,,,,4815996,restaurants,,"Phase1: 20 domain variants generated;   ⚠️ thetanatan.com → same-name in DELHI;   ⚠️ thetanatan.com → same-name in DELHI; Phase2: 4 search results across engines;   LangSearch: domain ≈ biz name, branch/outlet in city mentioned;   LangSearch: full biz name in content, biz+city within 150 chars, short/generic name, domain mismatch;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, domain ≈ biz name, branch/outlet in city mentioned",2
Dastarkhwan Tulsi Theatre,Lucknow,has_website,90,https://viaguia.com/dastarkhwan-tulsi-theatre/,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 10 search results across engines;   ✅ LangSearch confirmed: full biz name in content, branch/outlet in city mentioned",2
Sahib Cafe,Lucknow,has_website,90,https://www.tajhotels.com/en-in/taj/taj-mahal-lucknow/restaurants/sahib-cafe/,,,,4815996,restaurants,,"Phase1: 45 domain variants generated;   sahib.in → 200 (PARKED);   sahib.in → 200 (PARKED); Phase2: 15 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
The Awadh's Dastarkhwan,Lucknow,has_website,85,https://o2osell.com/shops/the-awadhs-dastarkhwan,,,,4815996,restaurants,,"Phase1: 40 domain variants generated; Phase2: 12 search results across engines;   LangSearch: address mentions Lucknow, branch/outlet in city mentioned;   ✅ Search confirmed: full biz name in content, biz+city in title, biz+city within 150 chars, branch/outlet in city mentioned",2
Vint Club - Restaurant | Cafe | Dining | Pool Party,Lucknow,no_website,70,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 9 search results across engines;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: full biz name in content;   LangSearch: branch/outlet in city mentioned; Phase3: No social profiles found; Low confidence — needs manual review; Score: no_site=138, has_site=103, net=35, phases=3/5",3
Hons - All day Dining,Lucknow,has_website,90,https://directmap.in/en/%E0%A4%B2%E0%A4%96%E0%A4%A8%E0%A4%8A/21188,,,,4815996,restaurants,,"Phase1: 55 domain variants generated; Phase2: 15 search results across engines;   LangSearch: branch/outlet in city mentioned;   LangSearch: address mentions Lucknow;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Sky Hilton Banquet and Restaurant ( Banquet hall Lucknow ),Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: No search results found (3 engines); Phase3: No social profiles found; Score: no_site=153, has_site=0, net=153, phases=3/5",3
Cellar,Lucknow,has_website,95,https://cellar.com,cellar.com,,,4815996,restaurants,,"Phase1: 20 domain variants generated;   ✅ cellar.com → MATCH: full biz name in content, biz name in title, domain == biz name",1
Saffron Kitchen Restaurant - Best Buffet Restaurant In Gomti Nagar Lucknow,Lucknow,has_website,90,https://restaurant-guru.in/Saffron-Kitchen-Lucknow,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 10 search results across engines;   LangSearch: address mentions Lucknow;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow",2
